HITID,CASE,COMPANY,HOW_CONDUCT_WAS_DISCOVERED,Worker,Answer,Date
3EN4YVUOUCSKZ2SYXFXQU6E4FXPXJT,89,WILLBROS,Willbros voluntarily disclosed the conduct to the DOJ and SEC.,AHP3TKMY58D8Z,Yes,2015-04-07 23:45:49 UTC
3QI9WAYOGQB0FQRSJMXEMUS7EC4S6B,90,ROTHROCK,"The DOJ charged Daniel Ray Rothrock, Vice President of the Cooper Division of Allied Products, with knowingly and willfully causing Allied Products to keep false books and records in violation of the FCPA.On August 9, 1991, the Cooper Division of Allied Products (""Cooper"") signed a contract with RVO Zarubezhneftestroy (""Nestro""), an entity owned by the Government of the Union of Soviet Socialist Republics (""USSR"") and later by the Government of the Russian Republic, for the sale of 20 work-over oil rigs.  The contract was worth approximately $5.5 million.Nestro owned 50% of a company called Trading & Business Services (""TBS""), which was registered in Switzerland.  The Director General of Nestro was also a director at TBS.  The day before the award of the contract to Cooper, on August 8, 1991, Cooper had agreed to pay $282,076 to TBS as a sales commission for the ultimate benefit of the Director General of Nestro.  In September 1992, TBS requested that Cooper provide pay it an additional $300,000, purportedly for services rendered in connection with the award of a second work-over rig contract.  In late October 1992, Rothrock provided TBS with a draft invoice for $300,000 for a consultation fee and market study, to be submitted to Cooper.  TBS submitted the invoice through a company called Educa, registered in Austria.  After the second contract was signed on May 18, 1993, Cooper issued a check for $300,000 to Educa.",A2QLSHXNCHBRN4,No,2015-04-07 23:42:15 UTC
30P8I9JKOILKOE8I8YSE5BYEHLN5VD,91,AMEC,"In late 2007, AMEC identified certain irregular receipts received between November 2005 and early 2007, amounting to some USD $9 million. AMEC promptly appointed external advisors to carry out an investigation and self-reported the findings to the appropriate authorities, which included the SFO, in March 2008.",A3RR85PK3AV9TU,Yes,2015-04-07 23:39:42 UTC
3Y3N5A7N4G9Z0FOT58WKTCDULXFMYT,92,AON,"Aon Limited, being a regulated entity under the UK's anti-money laundering legislation, is required to file Suspicious Activity Reports (""SARs"") on discovering activities that fall within the definition of ""money laundering.""  The relevant payments were such that Aon Limited was required to make a SAR to the UK's Serious Organised Crime Agency (""SOCA"").  The information contained within these disclosures was also disclosed to the FSA, by whom Aon Limited is regulated. Specifically, in June 2006, in connection with the departure of former brokers, Aon Limited became aware of a number of potentially inappropriate payments that may have been made in connection to its energy reinsurance business in Indonesia, and conducted an internal review of the matter.  The Indonesian payments were again been brought to Aon Limited's attention by the Indonesian authorities in April 2007.  Aon Limited then treated these payments as suspicious. After another group of suspicious transactions relating to business in Bahrain came to Aon Limited's attention in May 2007.  Aon Limited's Board then promptly reported the Bahrain and Indonesia payments to SOCA and the FSA. In January 2008, Aon Limited instructed a firm of accountants to conduct an extensive past payments review which covered all payments made by Aon Limited to overseas third parties between 1 January 2002 and 31 December 2007. This review identified a further number of payments made by Aon Limited to overseas third parties which were potentially inappropriate, some of which resulted in further notifications to SOCA.",AAXYYH9MI3PJM,Yes,2015-04-07 23:38:27 UTC
3CVBMEMMXBGUTHRHR2Q7OUL10C7H7E,93,BALFOUR BEATTY,"Balfour Beatty reported the matter to the U.K. Serious Fraud Investigation Office (""SFO"") in April 2005.  The company itself had carried out an internal investigation prior to reporting matters to the SFO.  The matter was then investigated by the SFO.",AXMPSUNKUBEIL,Yes,2015-04-07 23:39:34 UTC
3KVQ0UJWPXLX338NY8XARDHSOUP5WN,94,WILLIAMSON,"In 1996, Mr. Bayo, then a Manager of the Central Bank of The Gambia, negotiated a contract with the Royal Mint for millions of Bututs (the currency of The Gambia) to be produced by the Royal Mint.  During the negotiation of the deal it is said that Mr. Bayo demanded a commission.  It was alleged in court that Mr. Williamson, a Regional Sales Manager with the Royal Mint, agreed that a commission payment of GBP 38,000 would be paid.  Mr. Williamson was charged with conspiring to defraud the Royal Mint.  It was said in court that Mr. Bayo had taken GBP 37,720 of the new Gambia money as it rolled off the production line.  Prosecuting counsel said that Mr. Williamson had benefited by receiving payments from Mr. Bayo totaling GBP 18,250.  Management at the Royal Mint were unaware of the payments that were said to have been made. Only Mr. Williamson faced trial at Southwark Crown Court in September 2005.  Mr. Williamson was acquitted.",AAXYYH9MI3PJM,I don't know,2015-04-07 23:37:07 UTC
3FDWKV9VCN2IJ64OV7ZVQR7HP93UM2,95,CBRN,"It is unknown.  It is possible that it was the result of a Suspicious Activity Report (""SAR"") made in compliance with the UK anti-money laundering legislation.",A18TCR555RWUZV,I don't know,2015-04-07 23:40:34 UTC
3B6F54KMR2C584QVDGLXRY1Q61NS1C,96,DOBB WHITE & CO.,"The investigation into the affairs of Shinder Gangar, Alan White and Nigel Heath started in September 2002 and arose from a separate SFO investigation into Michael Summers and others.  On 28 April 2006, Summers was convicted in a separate SFO fraud case and sentenced to four years imprisonment and ordered to pay GBP 4 million in confiscation.",AIQB7XXL5K2FR,No,2015-04-07 23:40:26 UTC
36QZ6V1589DLH1HTF4VH206NHYMUSF,97,ORR/BAKKER/SCHEFFER,"Not known, but could be as a result of reporting requirements contained within the UK's anti-money laundering laws.",A2LVGE0TI3E7Q9,I don't know,2015-04-07 23:38:07 UTC
3EHIMLB7F7ZYTVW017ID2UHWBWDH81,98,MABEY & JOHNSON,"In January 2007, Mabey & Johnson commenced civil proceedings in the High Court in London against some former employees and its agent in Jamaica.  A Defence and Counterclaim filed within those proceedings alleged that it was common practice for Mabey & Johnson to pay government officials in order to secure contracts.  The lawyers instructed by Mabey & Johnson in relation to these civil proceedings, upon a separate Mabey and Johnson instruction, undertook an internal investigation.  The results of that internal investigation were provided to the SFO.  Mabey & Johnson cooperated fully with the SFO, including providing the SFO with privileged notes of internal interviews, directors and employees conducted during the internal investigation. After discovery of the corrupt payment there was a wholesale change of the senior management at Mabey & Johnson.",A1NM7ZPZ3NH412,I don't know,2015-04-07 23:38:48 UTC
3LN50BUKPVBLLJE7E9ZMG85THNLPLZ,100,SILICON CONTRACTORS,"On June 27, 1985, Silicon was charged with violating the anti-bribery provisions of the FCPA in connection with a $132,000 improper payment made by a Silicon officer to one or more officials at the Comision Federal de Electricidad (""CFE""), Mexico's state-owned electric monopoly on June 27, 1980.  The payment was made to influence the award of a contract to manufacture and install radiation and fire-stop penetration seals for a nuclear power plant in Laguna Verde, Mexico.The DOJ brought a civil injunctive action against Hughes, Richardson, Noble and Sherman, officers of Silicon, for their roles in the scheme.",AG0X3PQK2FWQJ,No,2015-04-07 23:41:12 UTC
3VZYA8PITOY4VD72514PKI8ONPB05H,102,GIFFEN,"James Giffen and Mercator, a New York-based merchant bank, represented and advised the Republic of Kazakhstan in connection with the sale of the Kazakh oil fields from 1995 to 1999.  On 4 August 2003, Giffen was indicted for bribing Kazakh officials in violation of the FCPA; defrauding the Republic of Kazakhstan in violation of the mail and wire fraud statutes; money laundering to further and conceal the bribery and fraud; and tax-related offenses.  According to the indictment, Giffen paid more than USD 80 million in bribes to the President of Kazakhstan, Nursultan Nazarbayev, and two other Kazakh officials, making payments into Swiss bank accounts he created in the names of offshore companies owned by those officials or members of their families.  The payments came out of either fees that Giffen and Mercator received in oil deals they brokered for the Republic of Kazakhstan or from escrow accounts holding payments due the Republic from oil transactions.  The bribes were, at times, concealed as loans or as payments of consultancy fees.  The funds in these accounts were allegedly used to pay for the personal expenses of Kazakh officials and their family members, including tuition, jewelry, vacations and credit card bills.  Giffen also allegedly provided a variety of luxury items (including speed boats, snowmobiles, jewelry and fur coats) free of charge to senior Kazakh officials.  Between 1994 and 2000, Mercator received over USD 67 million in commission and fees for its work for the Republic.At trial, Giffen asserted the public authority defense, arguing that he committed the acts based on a grant of authority from the U.S. government, and moved to compel discovery of classified information related to his communications with certain U.S. agencies regarding his activities in Kazakhstan.  The district court denied the government's attempt to preclude Giffen's assertion of the public authority defense and introduction at trial of classified information in support of that defense.  The government appealed to the Second Circuit, which dismissed the appeal for lack of jurisdiction but provided a detailed discussion of the district court's rulings.  J. Bryan Williams was an attorney in Virginia and a former senior executive of Mobil Oil Corporation (now Exxon-Mobil).  He was responsible for Mobil's oil trading operations in the former Soviet Union, including Kazakhstan.  In 1995 and 1996, Williams represented Mobil in negotiations related to the company's acquisition of a 25% interest in Kazazhstan's large Tengiz oil field, as well as other Mobil projects in the country.  As part of the Tengiz deal, Williams received a USD 2 million kickback from Giffen.",AXMPSUNKUBEIL,No,2015-04-07 23:40:05 UTC
335VBRURDJ0MNQO8GYGLHNFU3M3E97,103,HARRIS (COLOMBIA),"In October 1990, the United States indicted Harris Corporation, Schultz and Iacobucci for conspiracy to violate the FCPA.  The indictment alleged that the two individual defendants working for DTS conspired to pay commissions to O'Hara and his company, Polo, knowingly and with the intention that a portion of the commission payments be paid to foreign officials in Colombia.  Specifically, the indictment alleged that payments were made to a member of the Colombian Camara de Representates (""CDR"") in order that telecommunications contracts be awarded to Harris in Columbia.  In addition, payments are alleged to have been made to a company owned by a member of the CDR.   In one instance, it is alleged that a payment of  USD 22,845 was made to Polo with the intention that a portion would be paid to officials.  In another instance, it is alleged that bribe payments were explicitly discussed among the defendants in New York, and Iacobucci declared that he would not travel to Colombia without USD 5,500 in cash.  On a number of occasions, USD 3,000 were requested for ""incidental fees"" which the indictment alleges were for the purpose of bribes.",AG0X3PQK2FWQJ,No,2015-04-07 23:42:48 UTC
337F8MIIMZDMZU32RWLFFQ2ANTF04B,104,INTERNATIONAL SYSTEMS & CONTROLS,"On 9 July 1979, the US Securities and Exchange Commission filed a complaint against International Systems & Controls Corporation and five of its officers and employees, alleging that they violated the FCPA's accounting provisions by making over USD 23 million in improper payments between 1970-1977 to government officials and royal family members in Saudi Arabia, Iran, Algeria, Ivory Coast, Nicaragua, Chile and other countries (reportedly) - through subsidiaries - in order to obtain contracts related to engineering and constructing projects.  The payments were allegedly concealed on ISC's books as consulting fees, consulting services, and agent's fees and commission.  ISC's internal controls failed to require documentation to back up the expenditures. The SEC complaint also charged the defendants with anti-fraud, proxy, and reporting violations.",AIQB7XXL5K2FR,No,2015-04-07 23:42:47 UTC
3DQYSJDTYLBCOM66JEMZXQ1CAPUXE9,105,EAGLE BUS MANUFACTURING,"In July 1989, Morton was trying to negotiate a contract for the sale of buses manufactured by Eagle to the STC, a corporation owned by the government of the Province of Saskatchewan, Canada.  STC operated a bus transportation system in that province.  Morton met with Castle and Lowry, of STC, who told him that in order for Eagle to receive an order for 11 buses a payment of CAD 50,000 would be necessary.  In August 1989, Morton met with Tull and Blondek, of Eagle, at which time Blondek authorized Morton to pay the money demanded by Castle and Lowry.On 15 August 1989, Morton received a check from Lowry in the amount of CAD 52,000 payable to a corporation owned by Morton.  He deposited the check, obtained a bank draft payable to himself and later presented the bank draft at the Royal Bank of Canada in Regina and obtained 50 Canadian CAD 1,000 bills.  On 16 August 1989, Blondek signed a contract for the sale of 11 buses to STC.  The purchase price was approximately USD 2,770,000.Between October and November 1989, Castle and Lowry returned the bills in the CAD 1,000 denomination to Morton and requested that he convert them into bills of CAD 100 denomination, which Morton did.  In order to conceal from STC the check paid to Morton's corporation, Tull directed Morton to prepare a letter on Eagle company letterhead to Ontario Bus Industries, Inc., a Canadian firm which was assisting Eagle in the sale.  The letter falsely stated that STC had been given a volume discount amounting to USD 43,940. The indictment charged Blondek, Tull, Castle and Lowry with conspiring to bribe foreign officials in violation of the FCPA.  Defendants Castle and Lowry moved to dismiss the indictment against them on the grounds that, as Canadian officials, they could not be convicted of the charges.  Blondek and Tull were private U.S. citizens and did not challenge their indictment on this ground.  It was not disputed that Castle and Lowry could not be charged with violating the FCPA, since the Act does not criminalize the receipt of bribes by foreign officials.  The question was whether the Government could prosecute Castle and Lowry under the general conspiracy statute for conspiring to violate the FCPA.",AIQB7XXL5K2FR,No,2015-04-07 23:40:06 UTC
3NI0WFPPI9G0EH7GAKEUCOMOJKL06W,106,SYNCOR,"In June 2002, Cardinal Health entered into a merger agreement with Syncor.  During the pre-merger due diligence, Cardinal Health discovered payments to doctors at state-owned hospitals in Taiwan that violated the FCPA and realized that it could be held liable for Syncors past acts.  In an effort to reduce any potential successor liability, Cardinal Health required Syncor to voluntarily disclose the FCPA violations to the U.S. government and settle any charges before closing the deal.",A2LVGE0TI3E7Q9,Yes,2015-04-07 23:37:50 UTC
3VCK0Q0PO5E8L2D8910BEZ8AEAAN0T,109,ALSTOM,"SWITZERLANDThe investigations started in Switzerland in 2004 following the discovery of documentation detailing questionable transfers to companies in other countries in Alstom-related transactions.  These transfers were reportedly uncovered by auditors from Zurich-based KPMG Fides Peat, working for the Swiss Federal Banking Commission, who uncovered documents detailing the flow of about EUR 20 million from Alstom to shell companies in Switzerland and Liechtenstein.SLOVENIASeveral NGOs raised questions in 2008, following the 2007 bidding process for the power plant contract in Sostanj. They brought their concerns to the development banks and the Slovene government, which opened an investigation in 2009.",AXMPSUNKUBEIL,No,2015-04-07 23:40:40 UTC
3ACRLU860NE5BJ35EIUH8TAKRM6EBH,111,SAAB-BAE GRIPEN,The conduct appears to have come to light through two Swedish Television documentaries.,A2WGW5Y3ZFBDEC,No,2015-04-07 23:38:50 UTC
3PIOQ99R7YMO1OPO78EV36WHUZDUN2,112,VOLVO CONSTRUCTION EQUIPMENT,"The Independent Inquiry Committee into the U.N. Oil-for-Food Program named a large number of companies believed to have paid kickbacks to the former Iraqi regime, including Volvo entities.  The misconduct was also reported in the media.",A2QLSHXNCHBRN4,No,2015-04-07 23:42:54 UTC
30OITAWPBQ3Y70FA6ZOR2QC7V2VH9Q,114,ASHLAND OIL,"The U.S. Securities and Exchange Commission (‰ÛÏSEC‰Ûù) charged Ashland Oil and Orin E. Atkins, its Chairman and CEO, with violations of the FCPA's anti-bribery provisions in connection with improper payments allegedly made to government officials in Oman between 1979 and 1981.  Starting in late 1979, Ashland Oil, Inc., through its subsidiary Ashland Development Inc., made USD 29 million in improper payments to James Langdon, a British Army officer seconded to Oman (and hence an official of Oman for purposes of the FCPA) in return for crude oil contracts from Oman's government.  ADI began investing in Midland Chrome Mines (Private) Ltd., a company in Zimbabwe owned by Langdon and his family.  Over the next few years, ADI made approximately USD 25 million in payments and USD 4 million in interest by acquiring a 75% ownership interest in Midland Mines.  The mines themselves, due to a hostile political atmosphere in Zimbabwe and technical problems in removing the minerals, among other reasons, ultimately proved a worthless investment.  In return for the payments, Langdon used his influence with the Sultan of Oman to aid Ashland Oil in the procurement of crude contracts at a reduced price.  Central in these negotiations was Atkins, who approved many of the payments and proceeded with the dealings despite warnings from company lawyers and managers about possible FCPA violations.  In late 1983, shareholders filed suit against directors and officers of Ashland Oil for alleging waste of company funds in connection with the mine in Zimbabwe.",A2WGW5Y3ZFBDEC,No,2015-04-07 23:52:39 UTC
3NI0WFPPI9G0EH7GAKEUCOMOJKM06X,115,ALCATEL,"Alcatel describes the origins and development of the matter at length in its 2009 Consolidated Financial Statements (see attached).  The company's investigation, and those by the U.S. and French governments, were initially prompted by an investigation launched by Costa Rican prosecutors in October 2004 regarding payments allegedly made by consultants on behalf of Alcatel CIT to various Costa Rican officials. According to the DOJ press release, Alcatel initially was inadequately cooperative with the DOJ investigation into the matter.  Following the merger, the company substantially improved its cooperation.",A2WGW5Y3ZFBDEC,No,2015-04-08 00:22:05 UTC
3Z8UJEJOCZDJDS8BREZPYWBXCXD93B,116,BASU / SENGUPTA,"Between 1997 and 2000 Ramendra Basu and Gautum Sengupta allegedly conspired with two Swedish consultants to award World Bank contracts in Kenya and Ethiopia to various Swedish companies in exchange for kickback payments totaling around USD 127,000.  In addition, they allegedly assisted the Swedish consultants with bribing a Kenyan official by wiring USD 50,000 into an account outside of the United States for the official's benefit. In September 1997, Basu left his job at the World Bank and began working for a Swedish consulting firm.  Basu was paid a 10% commission on the value of the contracts that he worked on.  In December 1997, Basu returned to the World Bank while continuing to receive ""commissions"" from the consulting firm.  Sengupta, Basu's co-conspirator, awarded three contracts to the consulting firm by January 1990.",A1NM7ZPZ3NH412,I don't know,2015-04-07 23:41:19 UTC
34XASH8KLQM5R1WSEL01GLKIHSBPM1,117,HEALTHSOUTH,"Unclear, but it appears that HealthSouth uncovered the scheme sometime in 2003.",A2WQ3ZGXUF5FHO,Yes,2015-04-08 00:04:03 UTC
3M93N4X8HKNC3L6Z35R3VYXC0IOJS8,118,KENNY,"In 1965, Kenny entered into an agreement with the Government of the Cook Islands (an independent nation freely associated with New Zealand for purposes of external affairs and defense) whereby Kenny obtained the exclusive rights to the promotion, distribution and sale of Cook Islands postage stamps outside of the Cook Islands.  This agreement was renewed in 1972 for a ten-year period.  The Government of the Cook Islands received 50% of the proceeds of all stamps sold.In January 1978, Sir Albert Henry, the Leader of the Cook Islands Party, scheduled a general election for March 1978.  The Cook Islands Party needed to win the majority of seats in the Legislative Assembly if Sir Albert Henry were to remain Premier for the next four-year term.  The stamp distribution agreement between Kenny and the Government of the Cook Islands was subject to renewal during the next Premier's term.  Sir Albert Henry and the party officials determined that to win the election it would be necessary to transport by air from New Zealand Cook Island Party supporters to vote for the Party candidates. A representative of Sir Albert Henry and the Cook Islands Party requested that Kenny and Kenny International subsidize the air transportation costs of the Cook Islands Party supporters.  Kenny, in order to secure the renewal of the stamp distribution agreement, agreed to provide the financial assistance.  The payment was deducted from the Government's share of the proceeds from postage stamp sales.  Shell corporations were created specifically for the purpose of transferring the funds to the Cook Islands Party.In March 1978, the Cook Islands Party won the general election as a direct result of the votes cast by its supporters whose travel was paid for by Kenny International.  Sir Albert Henry remained in office as Premier.In July 1978, the election was contested and the Court disallowed the votes of the Cook Islands Party supporters whose travel had been subsidized as ""unlawful votes tainted by bribery.""  As a result, the Cook Islands Party lost its control of the Legislative Assembly and Sir Albert Henry was removed from office.  Kenny and Kenny International refused to pay the Government of the Cook Islands NZD 337,000, which was part of the Government's share of the proceeds of postage stamp sales.",A1NM7ZPZ3NH412,I don't know,2015-04-07 23:43:46 UTC
3JYPJ2TAYI8ZLR4BSYWOLV09KR0PFV,119,MONTEDISON,Montedison voluntarily disclosed the conduct after new management was appointed.,A2QLSHXNCHBRN4,Yes,2015-04-07 23:46:34 UTC
3UY4PIS8QRL8SRYQ5K4BS4RKJ2GN1W,120,OWL SECURITIES & INVESTMENTS,The FBI conducted an investigation into OSI's activities.  It is unclear how the FBI learned of the conduct.,A2HESXT4DAGASU,No,2015-04-07 23:48:48 UTC
37OPIVELUU3CCJPFY52RYLNR1KDHA5,121,GOODYEAR (Iraq),GIC auditors discovered the payments in the course of examining Janasik's advertising expenditures.  The company self-disclosed the violations to the DOJ.,AHP3TKMY58D8Z,Yes,2015-04-07 23:48:19 UTC
3D1UCPY6GG9JZNP1MMTBY0GMSRV38G,122,AMERICAN TOTALISATOR,"The U.S. Department of Justice (‰ÛÏDOJ‰Ûù) alleged that American Totalisator violated the FCPA's anti-bribery provisions in connection with improper payments made to officials at the Horse Races Administration of Greece between 1985 and 1993 in order to secure the sale of a totlisator system and spare parts for the Phaleron racetrack in Athens. [A totalisator is a device used to display betting information, particularly at horse racing tracks.]  The payments were made through the company's Greek agent, O. Nicholas Katsanis.",AIQB7XXL5K2FR,No,2015-04-07 23:41:16 UTC
3QD8LUVX4XYCS3DD8DTWTWVZXWV5XG,123,HOLCAR OIL CORP.,"Unspecified, but presumably the DOJ's investigation began soon after Carver disclosed the initial USD 1.5 million payment to the U.S. ambassador and foreign service officer.",AHP3TKMY58D8Z,No,2015-04-07 23:40:18 UTC
3R5LWXWHR08A802XP9CNXTMON59XGQ,124,SIEMENS AG,"In November 2006, German law enforcement executed a series of dawn raids on Siemens offices and the homes of senior executives.  Siemens then voluntarily disclosed the conduct to the DOJ and SEC. Please see above with regard to the investigations currently ongoing.",A2LVGE0TI3E7Q9,No,2015-04-07 23:36:49 UTC
3GS542CVJVNMR7VF5XNIDT9HQT4951,125,F.G. MASON ENGINEERING,"The DOJ charged MEI and Mason with conspiring to violate the FCPA's anti-bribery provisions in connection with improper payments made to Dirk Ekkehard Zoeller, an official at the Militaerischer Abschirmenst, or the West German Military Intelligence Service (known by the acronym MAD), from April 1983 through October 1989.  The payments were made to secure a procurement contract from MAD for the development, production and servicing of a new technical security countermeasure (""TSCM"") device called the MICRO-G, as well as related equipment and software.  [TSCM devices, also known as ""anti-bugging"" devices, are designed to detect the presence of electronic surveillance.]MEI and Mason promised Zoeller kickbacks worth 13.3% of the revenue received under the MAD procurement contracts and 50% of the revenue earned from ""general alignment"" charges under the related service contracts.  MEI and Mason inflated the prices on its contracts with MAD in order to cover the cost of the kickbacks.  Zoeller used his procurement authority at MAD to steer the award of the TSCM contract to MEI.",A18TCR555RWUZV,No,2015-04-07 23:37:06 UTC
3XWUWJ18TLQ1WE9X49QHH1OB2V7UUV,126,VITUSA,"In October 1989, Vitusa, through its local agent, Horizontes Dominicanos, entered into a contract to supply milk powder to the government of the Dominican Republic.  Vitusa delivered the milk power to the government but struggled to collect full payment.  The company made various efforts to collect the outstanding balance, including contacting officials in the U.S. and Dominican governments.  Servio Tulio Mancebo, the President and owner of Horizontes Dominicanos, then contacted Herzberg, Vitusa's President, and stated that a certain senior Dominican official demanded a ""service fee"" in exchange for influencing the government to pay the outstanding  balance owed to Vitusa.  In August 1992, Herzberg agreed to Mancebo's proposal and authorized Vitusa's bank in the Dominican Republic to withhold $20,000 of the expected payment from the government and to direct it to Mancebo.  In September 1992, the government made a payment of $163,095.12 to Vitusa.  Per Herzberg's instructions, Mancebo retained $20,000 from the payment for the benefit of the senior Dominican official.",A2QLSHXNCHBRN4,I don't know,2015-04-07 23:44:33 UTC
3E22YV8GG16B9JHSQMF1T09IMILPN1,127,SAYBOLT,"On November 20, 1996, investigators from the U.S. Environmental Protection Agency (""EPA"") executed a search warrant at Saybolt North America's New Jersey offices.  During this search, the investigators seized evidence related to the bribe. On May 12, 1997, Core Laboratories, N.V. purchased Saybolt International.  The former shareholders of Saybolt International placed $6 million in escrow to cover any criminal liability.",AXMPSUNKUBEIL,No,2015-04-07 23:37:53 UTC
38VTL6WC4AD1S83ND9FYCA28Z2P5YM,128,HYDRO KLEEN,"In December 2001, Innovative Coke Expulsion, another Alberta company and a competitor of Hydro Kleen, sued Hydro Kleen for allegedly bribing a U.S. immigration official to arrange U.S. visas for its employees while denying them to Innovative Coke Expulsion employees.  This private lawsuit likely prompted the investigation by the Royal Canadian Mounted Police.",A18TCR555RWUZV,No,2015-04-07 23:42:52 UTC
3Z8UJEJOCZDJDS8BREZPYWBXCXD395,130,TRITON,"In September 1989, Triton's new Internal Auditor visited Triton Indonesia's facilities, reviewed the accounting documents and had discussions with McAdoo, Keever and other Triton Indonesia employees. He then wrote a confidential memorandum discussing his concerns about improper payments to Indonesian government officials. After reading the memorandum, David Gore instructed the Internal Auditor to collect all copies and destroy them.During their preparation for their audit of the company's 1991 fiscal year, Triton's outside auditors learned of the internal memorandum and raised concerns about Triton Indonesia's activities. When questioned, Keever and others at Triton Indonesia only made a partial disclosure, omitting most of the improper payments. In 1992 and 1994 Triton reclassified the improper payments.  It is likely the SEC learned of Triton Indonesia's conduct when the payments were reclassified.",AG0X3PQK2FWQJ,No,2015-04-07 23:46:56 UTC
38G0E1M85M519TYX9Z0MDNQUG2GUVK,131,NIKO RESOURCES LTD.,"The press in Bangladesh reported the Land Rover gift that Niko presented to BAPEX, causing outrage among the general public.It is likely that the press reports and subsequent government investigations in Bangladesh prompted the Canadian government to initiate its own investigation into Niko.",A2LVGE0TI3E7Q9,No,2015-04-07 23:37:35 UTC
36818Z1KV3DXIBIGJKDPURMHIFV3AK,132,PORTS ENGINEERING CONSULTANTS,"In July 2004, the U.S. Department for Homeland Security, Immigration and Customs Enforcement began a criminal investigation into the matter.  The U.S. Federal Bureau of Investigation joined the investigation shortly thereafter.",ASLX3AJAL8XMU,Yes,2015-04-07 23:42:01 UTC
386T3MLZLNVNIVQ43ZBSW2IFPFC08J,133,ITXC,"The improper payments were uncovered during pre-acquisition due diligence by Teleglobe International Holdings Ltd. (""Teleglobe""), which acquired ITXC in early 2004.  Teleglobe was later acquired by Videsh Sanchar Nigam Ltd. (""VSNL"") in 2006.",A27PBC5O3Z5ZED,Yes,2015-04-07 23:41:06 UTC
3QQUBC64ZEEGISJJCDPINDVLOHUXNX,134,ITALIAN OIL-FOR-FOOD ACTIONS,"The Independent Inquiry Committee into the U.N. Oil-for-Food Program named a large number of companies believed to have paid kickbacks to the former Iraqi regime, including Cogep and NRG.  The Milan Public Prosecutor's Office subsequently opened a criminal investigation into the matter.",A2HESXT4DAGASU,No,2015-04-07 23:41:12 UTC
32ZCLEW0BZKFQTQ7BON90TS1DYHPJY,135,NAPCO,"Under the U.S. Foreign Military Sales (""FMS"") Program, the U.S. government loaned USD 5.5 million to the Republic of Niger between September 1981 and September 1983.  Under the FMS Program, the foreign government was permitted to work with a non-U.S. third party intermediary as long as the intermediary worked with a U.S.-based defense supplier.  A West German company, Dornier Reparaturwer GmbH (""Dornier""), signed a contract with the Niger government to perform maintenance on aircraft in February 1983.  The Niger Air Force, the Escardrille Nationale Nigerienne (""ENN""), however, could not come up with the required funds.  Not wanting to loose this potential business, Dornier established a relationship with NAPCO so that the Niger government could tap into the FMS funds.  From 1983-1987, the U.S. government approved three purchase orders worth approximately USD 3.2 million for aircraft parts for two airplanes owned by the Niger Air Force.  During the course of their relationship with the government of Niger, NAPCO's primary contacts were Tahirou Barke Doka, a Niger official serving as a Counselor in their Washington, D.C. embassy, and Captain Ali Tiemogo, the Chief of Maintenance for the Niger Air Force.The first contract, approved in December 1983, was worth USD 681,000.  In order to facilitate this order, NAPCO paid approximately USD 39,000 in bribes to Barke and Tiemogo through a fictitious sales agent, known as ""E. Dave,"" with a bank account in Minnesota which was controlled by Barke.   The second contract, agreed upon in August 1984, was worth USD 1,000,000.  NAPCO ended its ""relationship"" with E. Dave at this time and employed a different ""sales agent,"" the brother-in-law of Tiemogo, Amadou Mailele.  For the duration of the contract, at total of USD 49,000 in payments were made to Mailele and deposited in a Paris bank account.  In September 1985, NAPCO also offered to pay USD 2,028 to Barke for airline tickets on his honeymoon.  The third contract, worth approximately USD 1.5 million, was negotiated in August 1984.  The parties changed the ""sales agent"" again, this time to Fatouma Mailele Boube, the sister-in-law of Captain Tiemogo.  For her ""services"" she received USD 40,000 in payments from NAPCO, which were also wired to a bank account in Paris.Under FMS regulations, NAPCO was required to provide certain certifications relating to its contracts, agents, and various financial information in order for the funds to be issued.  From 1983-1987, NAPCO falsified documents submitted to the Defense Security Assistance Agency in order to conceal the improper payments it had made to Niger officials and/or their family members.  Furthermore, NAPCO filed inaccurate tax returns with the IRS in order to deduct the ""commissions.""NAPCO's representative throughout the incidents described above was Richard Liebo, Vice President for NAPCO's Aerospace Division.  The DOJ brought separate charges against both NAPCO and Liebo for violations of the FCPA in connection with the FMS sales to Niger.",A2HESXT4DAGASU,No,2015-04-07 23:48:41 UTC
